,Arttırılabilir Azami Bellek,Bağlantılar,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü,Optik Sürücü Tipi,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Soket Tipi,Star,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
10,,HDMI,"LENOVO Ideapad Gaming 3 82sc0062tx Amd Ryzen5 6600h 16(2x8gb) 16"" Ips Freedos Dizüstü Bilgisayar 82SC0062TX ",4 kg ve Üstü,Yok,16 inç,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,Yok,IPS,27.839,16 GB,DDR5,Siyah,512 GB,,4.36,3.5," Ideapad Gaming 3 82sc0062tx Amd Ryzen5 6600h 16(2x8gb) 16"" Ips Freedos Dizüstü Bilgisayar 82SC0062TX ",Belirtilmemiş,WUXGA,,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,6 Saat ve Üstü
11,32 GB,HDMI,"ASUS Tuf Gamıng A15 Fx506lhb-hn347 Intel I5-10300h 8gb Ddr4 512gb Ssd Gtx1650 15.6"" 144hz Dos FX506LHB-HN347 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,Yok,IPS,"15.190,57",8 GB,DDR4,Siyah,512 GB,,4.74,," Tuf Gamıng A15 Fx506lhb-hn347 Intel I5-10300h 8gb Ddr4 512gb Ssd Gtx1650 15.6"" 144hz Dos FX506LHB-HN347 ",1920 x 1080,Full HD (FHD),,10300H,Belirtilmemiş,Intel Core i5,4,Free Dos,4-6 Saat
12,,Bluetooth,"Monster Abra A7 V12.5.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Gtx1650 Freedos 17.3"" Fhd 144hz ABRA A7 V12.5.3 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,4.5,,,Yok,IPS,16.299,16 GB,DDR4,Siyah,500 GB,,4.7,2.7," Abra A7 V12.5.3 Intel Core I5-11400h 16gb Ram 500gb Ssd 4gb Gtx1650 Freedos 17.3"" Fhd 144hz ABRA A7 V12.5.3 ",1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,3 Saat ve Altı
13,,Bluetooth,Monster Abra A5 V17.2 Intel Core I5-11400h 8gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 15.6'' Fhd 144hz ABRA A5 V17.2 ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,500 GB,Q Türkçe,Oyun,4.5,,,Yok,AHVA,17.499,8 GB,DDR4,Siyah,500 GB,,4.43,, Abra A5 V17.2 Intel Core I5-11400h 8gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 15.6'' Fhd 144hz ABRA A5 V17.2 ,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,3 Saat ve Altı
14,64 GB,USB,"Casper Nirvana Intel Core i5-10210U 4GB RAM 250GB SSD 15.6"" FHD DOS Laptop X500.1021-4P00X-G-F ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,DDR,Paylaşımlı,Dahili,60 Hz,,,Casper Türkiye Garantili,,,Yok,Yok,Q Türkçe,Ev - Okul,,,,Yok,TN,7.599,4 GB,DDR4,Metalik,250 GB,,4.56,1.6," Nirvana Intel Core i5-10210U 4GB RAM 250GB SSD 15.6"" FHD DOS Laptop X500.1021-4P00X-G-F ",1920 x 1080,Full HD (FHD),,10210U,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü
15,,,LENOVO Yoga C630 Intel Core I5 8250u 8gb 128gb Ssd Chromeos 15.6 Full Hd Dokunmatik 81jx001tge Yoga C630-81JX001TGE ,2 - 4 kg,Var,"15,6 inç",Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q İngilizce,Ofis - İş,,,,Yok,,7.499,8 GB,Belirtilmemiş,Gri,128 GB,,4.6,, Yoga C630 Intel Core I5 8250u 8gb 128gb Ssd Chromeos 15.6 Full Hd Dokunmatik 81jx001tge Yoga C630-81JX001TGE ,1920 x 1080,Full HD (FHD),,8250U,8. Nesil,Intel Core i5,Belirtilmemiş,Chrome OS,
16,12 GB,,"ACER Aspire 3 A315-23 Amd Ryzen 5 3500u 8gb 256 Gb Ssd Freedos 15.6"" Fhd Nx.hvtey.00b Nx.hvtey.00B ",2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Ev - Okul,,,,Yok,TN,7.722,8 GB,Belirtilmemiş,Siyah,256 GB,,4.47,Belirtilmemiş," Aspire 3 A315-23 Amd Ryzen 5 3500u 8gb 256 Gb Ssd Freedos 15.6"" Fhd Nx.hvtey.00b Nx.hvtey.00B ",1920 x 1080,Full HD (FHD),,3500U,3. Nesil,AMD Ryzen 5,4,Free Dos,
17,,Mini HDMI,"Apple Macbook Air 13.6"" M2 8gb 256gb Ssd Uzay Grisi MLXW3TU/A ",2 kg ve Altı,Yok,"13,6 inç",M2 8 Çekirdekli,Belirtilmemiş,8 GB,Dahili,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,250 GB,,Q Türkçe,Ofis - İş,,,,Yok,,"23.505,49",8 GB,DDR5,Gri,256 GB,,5.0,," Macbook Air 13.6"" M2 8gb 256gb Ssd Uzay Grisi MLXW3TU/A ",2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,Belirtilmemiş,M2,8,Mac Os,
18,,HDMI,"LENOVO IdeaPad Gaming 3 82K201XDTX Ryzen 5 16GB 256 GB SSD RTX 3050TI 15.6"" FHD FreeDos Dizüstü Bilgisayar ",2 - 4 kg,Yok,"15,6 inç",AMD,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,16 GB,Q Türkçe,Oyun,4.2,Üniversite,,Yok,IPS,20.759,16 GB,DDR4,Siyah,256 GB,,4.84,3.3," IdeaPad Gaming 3 82K201XDTX Ryzen 5 16GB 256 GB SSD RTX 3050TI 15.6"" FHD FreeDos Dizüstü Bilgisayar ",1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,4-6 Saat
19,,Bluetooth,"Huawei Matebook D15 i5-1135G7 8GB 256GB SSD 15.6"" Gri Dizüstü Bilgisayar (Huawei Türkiye Garantili) BOD-WDH9 ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,1 GB,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ev - Okul,4.2,,,Yok,,"11.648,99",8 GB,DDR4,Gri,256 GB,,4.75,2.4," Matebook D15 i5-1135G7 8GB 256GB SSD 15.6"" Gri Dizüstü Bilgisayar (Huawei Türkiye Garantili) BOD-WDH9 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
20,,,ACER Nitro 5 An515-45 R5 5600h 8gb 512gb Ssd Rtx3050 Dos 15.6 Fhd Diüzstü Bilgisayar Nh.qbaey.005 NH.QBAEY.005 ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,Yok,IPS,15.599,8 GB,DDR4,Siyah,512 GB,,4.77,, Nitro 5 An515-45 R5 5600h 8gb 512gb Ssd Rtx3050 Dos 15.6 Fhd Diüzstü Bilgisayar Nh.qbaey.005 NH.QBAEY.005 ,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,
21,,Bluetooth,Apple Macbook Air 13'' M1 8gb 256gb Ssd Gümüş MGN93TU/A ,Belirtilmemiş,Yok,"13,3 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ofis - İş,,,,Yok,,18.999,8 GB,Belirtilmemiş,Gümüş,256 GB,,4.82,Belirtilmemiş, Macbook Air 13'' M1 8gb 256gb Ssd Gümüş MGN93TU/A ,2560 x 1600,Retina,,Belirtilmemiş,Yok,Apple M1,8,Mac Os,
22,,Bluetooth,"Monster Abra A7 V14.3.7 Intel Core I7-12700h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17,3"" Fhd 144hz ABRA A7 V14.3.7 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,500 GB,Q Türkçe,Oyun,4.7,,,Yok,IPS,24.999,16 GB,DDR4,Siyah,500 GB,,4.43,3.5," Abra A7 V14.3.7 Intel Core I7-12700h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17,3"" Fhd 144hz ABRA A7 V14.3.7 ",1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı
23,,,"Casper Excalibur Intel Core i7-11600H 16GB 500GB SSD RTX3060 6GB 15.6"" FHD DOS Gaming Laptop G900.1160-BV60X-B ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.6,,,Yok,,23.999,16 GB,DDR4,Siyah,500 GB,,4.5,2.9," Excalibur Intel Core i7-11600H 16GB 500GB SSD RTX3060 6GB 15.6"" FHD DOS Gaming Laptop G900.1160-BV60X-B ",1920 x 1080,Full HD (FHD),,11600H,11. Nesil,Intel Core i7,6,Free Dos,
24,,Bluetooth,"Monster Abra A7 V14.3.7 Intel Core I7-12700h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17,3"" Fhd 144hz ABRA A7 V14.3.7 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,500 GB,Q Türkçe,Oyun,4.7,,,Yok,IPS,24.999,16 GB,DDR4,Siyah,500 GB,,4.43,3.5," Abra A7 V14.3.7 Intel Core I7-12700h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Windows 11 17,3"" Fhd 144hz ABRA A7 V14.3.7 ",1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı
25,,,"Casper Excalibur Intel Core i7-11600H 16GB 500GB SSD RTX3060 6GB 15.6"" FHD DOS Gaming Laptop G900.1160-BV60X-B ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.6,,,Yok,,23.999,16 GB,DDR4,Siyah,500 GB,,4.5,2.9," Excalibur Intel Core i7-11600H 16GB 500GB SSD RTX3060 6GB 15.6"" FHD DOS Gaming Laptop G900.1160-BV60X-B ",1920 x 1080,Full HD (FHD),,11600H,11. Nesil,Intel Core i7,6,Free Dos,
26,,Bluetooth,Casper Excalibur G770.1245-8vh0x-b 12.nesil Intel Core I5-12450h 8 Gb Ram 500 Gb Ssd 4gb Gtx 1650 Freedos G770.1245-8VH0X-B ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,,Yok,IPS,15.999,8 GB,DDR4,Siyah,500 GB,,4.54,3.3, Excalibur G770.1245-8vh0x-b 12.nesil Intel Core I5-12450h 8 Gb Ram 500 Gb Ssd 4gb Gtx 1650 Freedos G770.1245-8VH0X-B ,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,
27,,Bluetooth,"Monster Abra A7 V14.2.5 Intel Core I5-12500h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 17,3"" Fhd 144hz ABRA A7 V14.2.5 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,500 GB,Q Türkçe,Oyun,4.5,,,Yok,IPS,20.699,16 GB,DDR4,Siyah,500 GB,,4.13,3.3," Abra A7 V14.2.5 Intel Core I5-12500h 16 Gb Ram 500gb Ssd 4gb Rtx3050ti Freedos 17,3"" Fhd 144hz ABRA A7 V14.2.5 ",1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı
28,,,Dell G15 5511 G55112306U I5-11260h 16gb 512gb Rtx3050 15.6 Ubuntu G55112306u ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,Yok,,17.950,16 GB,DDR4,Siyah,512 GB,,4.78,, G15 5511 G55112306U I5-11260h 16gb 512gb Rtx3050 15.6 Ubuntu G55112306u ,1920 x 1080,Full HD (FHD),,11500,11. Nesil,Intel Core i5,6,Free Dos,
29,,,"ASUS X515ea-bq1186w Intel I5 1135g7 8gb Ram 256gb Ssd Iris Xe 15.6"" Fhd Ips W11 X515EA-BQ1186W ",2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,4.2,,,Yok,,12.028,8 GB,DDR4,Gri,256 GB,,4.81,," X515ea-bq1186w Intel I5 1135g7 8gb Ram 256gb Ssd Iris Xe 15.6"" Fhd Ips W11 X515EA-BQ1186W ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
30,,,ACER Extensa 15 Ex215-22 Nx.eg9ey.004 Amd Ryzen 3 3250u 8gb 256gb Ssd 15.6'' Freedos Pc NX.EG9EY.004 ,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,6.398,4 GB,Belirtilmemiş,Siyah,256 GB,,4.75,, Extensa 15 Ex215-22 Nx.eg9ey.004 Amd Ryzen 3 3250u 8gb 256gb Ssd 15.6'' Freedos Pc NX.EG9EY.004 ,1920 x 1080,Full HD (FHD),,3250U,3. Nesil,AMD Ryzen 3,Belirtilmemiş,Free Dos,
31,,,"Apple Macbook Pro Mkgt3tu/a M1 Pro 16gb 1tb Ssd-liquid Retina-14"" Silver Dizüstü Bilgisayar MKGT3TU/A_ ",2 kg ve Altı,Yok,"14,2 inç",Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,49.000,16 GB,Belirtilmemiş,Gümüş,1 TB,,4.17,," Macbook Pro Mkgt3tu/a M1 Pro 16gb 1tb Ssd-liquid Retina-14"" Silver Dizüstü Bilgisayar MKGT3TU/A_ ",Belirtilmemiş,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,16,Mac Os,
32,,Bluetooth,ACER Swift 3 SF314-511 EVO i5-1135G7 8GB 512GB SSD 14'' W11 FHD Laptop (ACER Türkiye Garantili) NX.ABNEY.003 ,2 kg ve Altı,Yok,14 inç,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Harici,Belirtilmemiş,,2 Yıl,ACER Türkiye Garantili,,,512 GB,,Q Türkçe,Tasarım,,,,Yok,,9.999,8 GB,Belirtilmemiş,Çok Renkli,512 GB,,4.72,, Swift 3 SF314-511 EVO i5-1135G7 8GB 512GB SSD 14'' W11 FHD Laptop (ACER Türkiye Garantili) NX.ABNEY.003 ,1920 x 1080,Full HD (FHD),,1135G7,10. Nesil,Intel Core i5,Belirtilmemiş,Windows,
33,,,"HP Probook 440 G9 6s750ea I7-1255u 8gb 512gb Ssd Mx570a 2vga 14"" Fdos UNUN0HEW0117 ",2 - 4 kg,Yok,Belirtilmemiş,Dahili Ekran Kartı,GDDR6,Paylaşımlı,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,,Çoklu Kopyalama Sistemleri,,20.199,1 GB,DDR4,Gümüş,SSD Yok,,0.0,," Probook 440 G9 6s750ea I7-1255u 8gb 512gb Ssd Mx570a 2vga 14"" Fdos UNUN0HEW0117 ",1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,A4 Serisi,Belirtilmemiş,Free Dos,
34,,HDMI,"Apple Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı MLY33TU/A ",2 kg ve Altı,Yok,"13,6 inç",M2 8 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,24.950,8 GB,Belirtilmemiş,Mavi,256 GB,,4.97,," Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı MLY33TU/A ",2560 x 1664,QHD,,Belirtilmemiş,Belirtilmemiş,M2,8,Mac Os,
